Sl. No.,District name,2022-23 - Post-Matric Scholarships Scheme for SC Students - Number of Beneficiaries,2022-23 - Post-Matric Scholarships Scheme for SC Students - Central Share Amount Paid,2022-23 - Pre-Matric Scholarships Scheme for SCs and Others - Number of Beneficiaries,2022-23 - Pre-Matric Scholarships Scheme for SCs and Others - Central Share Amount Paid,2023-24 - Post-Matric Scholarships Scheme for SC Students - Number of Beneficiaries,2023-24 - Post-Matric Scholarships Scheme for SC Students - Central Share Amount Paid,2023-24 - Pre-Matric Scholarships Scheme for SCs and Others - Number of Beneficiaries,2023-24 - Pre-Matric Scholarships Scheme for SCs and Others - Central Share Amount Paid
1,Ariyalur,7397,85804355,1737,3672900,8177,97800495,4317,9126600
2,Chengalpattu,11542,110611668,3598,7555800,26104,387480458,11773,24725400
3,Chennai,19541,156845077,4133,8710800,34868,307657366,16004,33633600
4,Coimbatore,17045,353407810,3259,6904800,19347,305604623,8939,18942000
5,Cuddalore,25581,329849306,5649,12070800,32064,394751360,13257,28554000
6,Dharmapuri,12928,184133211,2497,5342400,12772,167059682,5933,12614700
7,Dindigul,11791,163447689,3386,7133700,19496,213941504,8655,18232200
8,Erode,11800,177766727,3628,7667100,14244,149499355,9143,19336800
9,Kallakurichi,10092,140549492,3071,6535200,16684,199080006,11590,24539100
10,Kanchipuram,23406,472319323,2486,5289900,23147,290773037,10555,22297800
11,Kanniyakumari (hq Nagerc),5285,129039615,514,1087800,7542,117789702,3905,8221500
12,Karur,6516,101803832,1186,2490600,10125,94860818,5038,10619700
13,Krishnagiri,8464,118448363,1929,4181100,12142,117489253,5899,12765900
14,Madurai,10950,142494454,3553,7618800,20577,173025219,13618,28835100
15,Mayiladuthurai,5382,68936086,1749,3691800,14265,111976160,6134,12999000
16,Nagapattinam,11568,160552329,2014,4256700,12563,137362691,5410,11379900
17,Namakkal,24697,526705022,2993,6400800,19455,349715802,7114,15246000
18,Nilgiris (hq Udhagama),4443,45456881,1409,3028200,10356,65453835,6657,14080500
19,Perambalur,8439,134853583,1464,3091200,13727,147537569,6647,14013300
20,Pudukkottai,15708,231758438,2687,5758200,15851,198670495,8249,17434200
21,Ramanathapuram,7192,77794737,1544,3242400,9906,84877542,6797,14273700
22,Ranipet,5153,61874278,1785,3750600,10503,110825859,6652,14011200
23,Salem,28369,416919767,5170,11113200,22494,296261236,10832,22879500
24,Sivaganga,8583,104701228,1596,3385200,9734,108226167,5341,11326500
25,Tenkasi,6150,67777858,1884,3966900,11318,102106396,8195,17226300
26,Thanjavur,17055,212575195,2893,6192900,21173,235479974,8873,18826500
27,Theni,7120,81813944,2464,5197500,10248,98138614,5463,11493300
28,Thoothukudi,10649,124074408,2760,5926200,11091,118376184,6445,13705200
29,Tiruchirappalli,21688,352709168,3369,7114800,26824,386121917,10750,22740900
30,Tirunelveli,12823,225089786,2233,4735500,16552,170730302,9534,20109600
31,Tirupathur,4125,53681659,1503,3164700,8286,81394393,7151,15061200
32,Tiruppur,9676,111392580,3721,7816200,14662,114840408,8014,16833600
33,Tiruvallur,24323,370655563,3761,7910700,26021,389868449,11155,23488500
34,Tiruvannamalai,23871,260539296,4229,8990100,20243,192066076,13507,28634700
35,Tiruvarur,13468,135349551,2901,6092100,18765,128104619,11692,24553200
36,Vellore,15124,210659842,1933,4080300,16525,110205605,9931,20953800
37,Villupuram,23481,284283097,4086,8589000,28074,220845755,14090,29605800
38,Virudhunagar,15000,176755798,3550,7465500,14673,142871198,12383,26021100
Total,Total,506425,7163431016,104324,221222400,640598,7118870124,335642,709341900
